Filename,Label,LPC2,LPC3,LPC4,LPC5,LPC6,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,SFM,Spectral_Spread,Spectral_Skewness,Spectral_Centroid,Chroma_Mean,Chroma_Var,ZCR,STE,RMS
16\BI-10.wav,BI,-0.86956966,-0.11872731,-0.22482964,0.49365082,-0.10136783,-38.331844,69.651924,-38.149178,-30.751972,5.3728867,1.5174286,-0.7259286,5.882555,-4.4406133,-0.63252527,-2.1066318,3.0238855,-13.831385,391.39844,16.823690754632846,9.326979477311053,0.07754207,6002.228147109731,4.143906,5963.88451115509,0.53876346,0.04370725,0.1598233309659091,32.214764335859485,0.16796449
16\BI-100.wav,BI,-0.7385678,-0.2096734,-0.17488539,0.4251737,0.05164927,-120.42331,51.038876,-38.389233,-36.913715,2.3042371,-7.927436,-11.08963,6.57475,0.46928027,2.1168983,-6.6058154,-6.330073,-17.152735,281.0893,17.78160456048921,13.291662578283939,0.108785264,6304.385977407922,3.5958555,6924.271195345096,0.51971155,0.03297752,0.20645706741898148,5.704900071650088,0.070080765
16\BI-101.wav,BI,-0.74244535,-0.08194876,-0.2577512,0.3614619,0.08369975,-113.504616,52.419395,-35.851677,-30.837662,4.775503,-3.9536204,-7.486988,9.499016,-5.2692504,2.012222,1.0340806,-1.2501657,-17.21543,45.00247,19.391269480795312,12.791055980357429,0.114881665,6250.574621690166,3.4137683,6926.453637319193,0.4782356,0.020801393,0.21005215487637363,4.121096694299562,0.06287037
16\BI-102.wav,BI,-0.7712333,-0.19268933,-0.16521455,0.42797843,0.06446136,-112.03624,57.670364,-40.19959,-34.280487,5.735565,-7.2504125,-8.804456,7.6855135,-4.335211,-0.18415049,-1.468007,-2.0417736,-16.95027,211.78687,18.098430576849527,10.582095870350646,0.09507977,6183.017320303481,3.5164049,6543.628956225639,0.497919,0.028184943,0.19028501157407407,5.5590739079672735,0.07171414
16\BI-103.wav,BI,-0.7554251,-0.2562846,-0.11826856,0.4264925,0.05320744,-116.53806,61.58527,-39.918934,-33.98629,4.406384,-11.600482,-13.435226,4.5990996,-0.5241713,-0.44575396,-5.0507317,-5.2052045,-13.717812,321.73035,18.28810909676223,9.998056309328566,0.08436732,6127.242562035225,3.553662,6309.3346427038005,0.53573906,0.030797496,0.17952045641447367,5.888424205661163,0.07336971
16\BI-104.wav,BI,-0.76079047,-0.17748025,-0.2135077,0.40880522,0.03387419,-106.39216,63.061783,-38.00171,-34.39999,7.4813895,-2.5340698,-9.5463505,5.099324,-3.349049,-0.90531987,-2.6006312,-2.0371406,-17.80916,384.8291,17.854524760355886,10.96747947836528,0.08446935,6104.606078786634,3.7126155,6271.735082631609,0.47063056,0.029054806,0.1692437065972222,7.098031691695288,0.08052872
16\BI-105.wav,BI,-0.7556971,-0.18590823,-0.20239423,0.40667006,0.08033781,-95.13565,55.34483,-43.07429,-38.623116,3.4716542,-9.181205,-13.222094,6.372088,-1.4675376,-0.45786503,-5.7408085,-3.7295482,-14.489907,177.17398,17.96005439249866,8.91837891147309,0.09200399,6172.255812340673,3.438464,6560.396427693404,0.54351157,0.031596027,0.1896294487847222,8.176248304604087,0.08693666
16\BI-106.wav,BI,-0.75283164,-0.11355056,-0.28702882,0.3852965,-0.023491697,-70.495544,61.509453,-33.98576,-37.61819,0.034010146,-3.2220278,-8.085722,7.6610904,-5.4676046,-4.846253,-1.112577,-1.9615678,-16.665884,87.1145,17.804600860884783,9.291062237432989,0.099499315,6263.006310625027,3.5564814,6569.445708896874,0.5506877,0.031817112,0.18424479166666666,10.906552159085145,0.10167837
16\BI-107.wav,BI,-0.6828114,-0.06599493,-0.31900647,0.35314506,0.17750752,-121.229904,47.001682,-32.362118,-28.207525,10.961101,-2.5774212,-13.187934,12.087914,-1.3212864,4.748277,0.09980798,2.3247254,-10.932345,41.8694,17.36220828755711,18.964204218047794,0.117508225,6269.525337086524,3.5564835,7246.26068418689,0.51340115,0.02407682,0.21749745244565216,3.6767777541206907,0.059823133
16\BI-108.wav,BI,-0.87647116,0.10632427,-0.44517854,0.44664812,-0.015944581,-37.673336,57.875584,-42.452194,-36.588608,-2.5145662,-0.29078743,-11.027536,7.185406,-6.0175924,2.1318698,-5.4378023,-1.8417417,-13.377042,245.83765,16.532842661785693,11.738118535248871,0.09285214,5952.617892983237,3.5072443,6328.012096150483,0.5744083,0.038276076,0.18422747672872342,26.039107267843917,0.15425535
16\BI-109.wav,BI,-0.73392224,-0.17793685,-0.23315538,0.37372163,0.043459896,-89.5715,53.30349,-41.107193,-38.58215,0.37288854,-6.5508876,-9.681093,5.3890142,-3.580453,-1.9357179,-2.4719346,-0.3760275,-20.115753,109.374435,17.967182400458213,9.2274525697018,0.10583651,6254.667510761556,3.5341146,6729.185858251814,0.49418387,0.029363664,0.1936673001126126,8.156179227706817,0.08640119
