Filename,Label,LPC2,LPC3,LPC4,LPC5,LPC6,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,SFM,Spectral_Spread,Spectral_Skewness,Spectral_Centroid,Chroma_Mean,Chroma_Var,ZCR,STE,RMS
16\BI-10.wav,BI,0.28320253,0.26365083,0.041047357,0.15092596,0.04060698,-38.74796,-11.702824,-21.462584,8.155483,-18.600882,3.3769455,-11.587992,7.2981873,-12.6673155,7.3845696,-9.3762,7.1810026,-9.42495,0.0,13.741904459504473,0.0,0.45200783,130.26875170750307,0.8488191,270.3808627831954,0.66442496,0.0,0.140625,0.3708341824822128,0.015335827
16\BI-100.wav,BI,0.70496684,0.51527226,0.12821947,0.24103156,0.21691786,-138.88579,-45.343002,-41.47908,13.353309,-33.22326,-0.674792,-27.662292,6.567127,-25.1374,9.096862,-12.230579,15.489551,-14.2210245,38.254658,20.71570614928565,7.397245468760631,0.23910303,115.63733260692045,1.1569773,305.2477249988896,0.6620123,0.008527057,0.3590494791666667,0.09463356863707303,0.008941497
16\BI-101.wav,BI,0.38133276,0.20565413,-0.007503436,0.4927207,0.48378688,-138.61272,-27.185776,-36.03446,6.6053834,-55.154583,-11.854709,-32.482655,11.222505,-10.342812,28.926407,-2.5160353,19.552507,-15.411387,61.638565,20.594946059714506,12.210310958792812,0.23159897,128.01195756957972,1.3639803,274.99760355155746,0.64593405,0.006270174,0.2890625,0.0745571518316865,0.009562534
16\BI-102.wav,BI,0.47770122,0.19746251,-0.062039055,0.2786671,0.25655374,-145.34393,-26.929457,-22.605305,17.386698,-33.52212,4.3635335,-24.583933,7.628521,-13.289252,20.905052,-12.279228,18.233143,-15.887462,6.1607184,19.743034400079818,1.8485127878191836,0.29399824,127.68209821528998,1.3130088,291.62916431112,0.5130737,0.0036520322,0.19140625,0.04246285247306029,0.0061409427
16\BI-103.wav,BI,0.37426966,0.07940291,-0.03980498,0.29963246,0.22536533,-118.891495,-27.309433,-17.299053,2.9933438,-37.09182,-2.7228603,-23.700342,0.42889985,-22.265388,5.0434,-9.099342,11.031582,-10.763203,13.08822,17.77999295579847,3.9277463985538605,0.34649017,131.92783140243637,0.9565052,282.4047206945871,0.5694322,0.00096072414,0.26904296875,0.06387291685678065,0.007976047
16\BI-104.wav,BI,0.30140483,-0.007295169,-0.08939381,0.20205502,0.2552683,-124.491684,-22.56425,-9.670885,5.7091503,-23.23071,-7.095907,-24.512814,1.6800413,-17.020557,8.71338,-7.9204197,9.518427,-7.3639183,0.0,16.981414871101915,0.0,0.3865777,135.78104371729896,1.2082494,279.8586671795258,0.41864038,0.0,0.1279296875,0.062129952013492584,0.006544079
16\BI-105.wav,BI,0.70378804,0.3997028,0.10531374,0.19342373,0.19559589,-135.3174,-47.65795,-30.672333,6.983613,-31.366173,-1.5245174,-34.462566,5.1162167,-23.112003,11.883165,-14.513634,7.117986,-15.185587,15.534023,19.631165080008298,2.7094654985782785,0.24879059,120.09449531997478,0.9806434,312.3763607300044,0.5093482,0.0025035052,0.26806640625,0.06405401090160012,0.007849313
16\BI-106.wav,BI,0.14020257,0.124919444,0.14557803,0.26857272,0.14477433,-79.86781,-12.886338,-19.251602,1.8534756,-27.269026,-0.61247826,-28.794086,4.0471706,-16.88677,16.343071,-10.104953,3.401282,-25.994968,0.0,18.188100257322034,0.0,0.4202146,133.71953989467508,0.67615503,269.3077987714547,0.46192765,0.0,0.1328125,0.2023784122429788,0.010979529
16\BI-107.wav,BI,0.16662936,-0.13473646,0.018999953,0.22994031,0.12821136,-150.93135,-3.167457,5.7264175,-1.4144738,-23.099802,0.031662345,-9.092827,3.0387368,-17.614601,15.087021,-13.703562,-2.8891897,-7.7199335,0.0,14.83668299886554,0.0,0.46025392,144.92772476381356,0.91852754,259.3998064478491,0.41637874,0.0,0.07568359375,0.022532270289957523,0.0043601077
16\BI-108.wav,BI,0.58695847,0.25185,-5.148232e-05,0.17212622,0.09495412,-79.16253,-31.17876,-15.212698,14.873802,-26.408611,12.1051,-17.233364,11.131275,-15.935423,8.471607,-11.55262,13.766943,-20.97494,1.9339178,18.583300842061487,1.9132000171633232,0.32670015,127.8164765065433,1.048331,302.6445521151436,0.55962974,0.00061841373,0.1708984375,0.1268472420051694,0.0115576945
16\BI-109.wav,BI,0.63252515,0.36058173,0.13824101,0.21887037,0.18808398,-116.07041,-38.303017,-31.77859,9.015908,-28.776834,3.201457,-30.429062,9.516053,-17.861284,15.454358,-14.206436,12.951485,-13.280946,27.141727,18.04950110551413,4.0085404656354715,0.278217,122.01395706923104,1.2492355,302.67148144489624,0.502088,0.002521762,0.38671875,0.10970208359261353,0.010539508
16\BI-11.wav,BI,0.29981893,-0.13168466,-0.03936812,0.2408942,0.041636247,-49.13257,-22.893702,12.990135,3.1394973,-19.546104,-0.7739656,-9.385197,-2.0471501,-1.1377968,1.369365,-12.269407,2.6212032,-4.1350827,0.0,13.550459765855543,0.0,0.46319553,143.93734036192038,1.0136781,282.56893914878134,0.4150758,0.0,0.06103515625,0.3117957692593336,0.01233872
16\BI-110.wav,BI,0.4292194,0.33104992,0.1442599,0.13603109,0.2136036,-148.62769,-30.765764,-43.64682,-0.5523345,-27.731031,-8.468277,-31.805666,9.334511,-23.022263,8.12479,-16.913677,11.63279,-9.373973,40.81202,18.944269731072875,8.754013413144373,0.29752123,121.51545033938176,0.8866396,285.2828494578351,0.63098645,0.02062503,0.3693033854166667,0.04980179155245423,0.0072106584
16\BI-111.wav,BI,0.5109348,0.31638002,0.06601523,0.21119115,0.2889705,-130.77057,-36.387066,-42.60664,6.336128,-35.83905,-6.8171134,-35.47365,5.8010287,-27.074656,14.392756,-15.083804,18.596645,-15.663571,50.4939,21.966457408359215,6.340712519175011,0.24282761,121.14133996229891,1.0025917,293.0713094313015,0.58169705,0.017647853,0.3681640625,0.10352399870753289,0.009495426
16\BI-112.wav,BI,0.50272685,0.1883815,-0.1258723,0.10552706,0.06530839,-139.30629,-38.92386,-25.014511,16.665504,-25.207956,10.452708,-16.602442,4.7296,-14.777104,12.812245,-15.3586,11.816686,-12.053727,52.848614,16.235296435377393,3.884011428198613,0.31418574,122.10630686361048,1.1564568,302.46975714080537,0.525175,0.005670339,0.3898111979166667,0.07518940642476082,0.007986106
16\BI-113.wav,BI,0.6835693,0.33234033,0.10574971,0.18793407,0.23614582,-99.058,-44.9681,-26.159042,8.121056,-26.182228,0.55176616,-29.318794,6.0380397,-21.762661,19.223362,-7.0722723,17.384405,-12.288583,13.152954,20.76194496998874,2.4029936305685404,0.24532989,123.61628385916953,1.4164522,310.70856680537133,0.4243954,0.00028141614,0.3017578125,0.12261631269939244,0.01108318
16\BI-114.wav,BI,0.5016982,0.23254631,0.1154301,0.24637695,0.1446127,-62.97135,-21.639868,-22.862791,13.365508,-30.178177,8.829859,-20.247168,12.523707,-24.547604,15.836804,-15.720018,18.279331,-19.819328,7.556196,21.552817760937074,1.76162065945996,0.29366785,129.73104150730558,1.1061718,293.6226730967173,0.48930836,0.0002121427,0.2109375,0.24191915585349003,0.01397264
16\BI-115.wav,BI,0.73911613,0.43047124,0.15145183,0.23479278,0.14995912,-98.79266,-37.915646,-25.300226,13.132129,-26.640106,9.820138,-22.632093,8.3479805,-14.482407,19.483234,-17.391659,14.927944,-14.50775,12.205565,18.46770476762085,4.93891549233384,0.27394,122.81723437419132,1.4086528,308.4988689521881,0.4569213,0.0007246696,0.296875,0.1273983265273273,0.010930731
16\BI-116.wav,BI,0.087777704,0.09298256,0.108375154,0.30306372,0.11387563,-140.91974,-3.2874198,-26.252785,-3.5940301,-38.602882,0.014473438,-20.165606,13.958704,-18.94246,14.702229,-8.168505,10.110606,-12.396288,0.0,18.015191131270416,0.0,0.365386,131.90859511769497,0.8622506,257.78859302026103,0.66961175,0.0,0.115234375,0.05296936072409153,0.00582474
16\BI-117.wav,BI,0.14019953,0.096979536,0.0024190908,0.27619514,0.21551439,-98.58842,-4.7469387,-14.670896,5.8948236,-31.653507,-5.563827,-17.781277,9.9933405,-10.924205,10.160588,-8.423529,3.961901,-13.266236,0.0,16.208699210288252,0.0,0.41842917,135.1204139030158,0.5387808,261.0073890652629,0.7305109,0.0,0.09814453125,0.08536074450239539,0.007812402
16\BI-118.wav,BI,0.3427794,0.20347889,0.1262514,0.35662276,0.16317855,-67.73838,-13.522869,-17.09239,-2.947117,-33.35989,3.8559139,-13.585886,10.441792,-13.262299,5.8372145,-8.970388,4.6230507,-15.849743,0.0,15.784682147341437,0.0,0.41788828,131.9865805638769,0.87731284,272.02676839983474,0.57614225,0.0,0.12451171875,0.17698887642472982,0.011106445
16\BI-119.wav,BI,-0.033053637,-0.17420964,0.18143532,0.31697485,-0.0035030032,-121.47789,-0.55657446,3.4435065,-12.180385,-36.182274,-9.593952,-18.974903,1.3044176,-8.568444,-1.7284243,-14.0169325,-3.1746755,-22.729124,0.0,17.675128498015727,0.0,0.38639688,143.97839501521037,0.98194456,245.1165730236964,0.46626535,0.0,0.083984375,0.06972425105050206,0.006640065
16\BI-12.wav,BI,0.6177154,0.4128939,0.24663348,0.3914111,0.34082314,-121.328606,-40.098717,-34.1709,-1.2563108,-35.95755,-2.5896492,-22.79477,12.598234,-9.009001,22.568045,-9.18885,12.872257,-14.496501,0.0,17.691174561300244,0.0,0.29246882,122.89802534833474,0.99850416,297.27262674204894,0.52540916,0.0,0.1611328125,0.09445104002952576,0.007998258
16\BI-120.wav,BI,0.43623966,0.66969794,0.5785883,0.5332131,0.1556264,-109.025246,-23.259998,-44.768482,-7.463112,-21.8153,17.789452,-0.74562114,14.072334,-16.66993,7.703327,-9.360076,10.661255,-11.742697,0.0,16.104816390118106,0.0,0.31620568,117.54110479647733,1.2000642,273.63067877324545,0.43077734,0.0,0.08642578125,0.11036182101815939,0.008629927
16\BI-121.wav,BI,0.7749551,0.5612456,0.25996107,0.24975637,0.20574303,-148.00505,-51.42688,-37.959927,7.043203,-26.057505,-0.972415,-26.564993,7.524718,-17.136007,16.394506,-12.209634,12.891154,-13.92923,40.72703,18.14773963379838,10.01381516619183,0.24827325,116.1810046121381,1.1150137,310.99704021339124,0.51312214,0.0059491727,0.3746744791666667,0.0680304516106844,0.007998136
16\BI-122.wav,BI,0.421266,0.16244565,-0.123746715,0.027171178,0.09836373,-153.95728,-26.072,-27.09426,15.545604,-24.444702,1.1717733,-31.21406,6.0826283,-24.507162,9.810611,-18.420527,7.064268,-12.6691675,59.255222,18.44386541457057,3.9228217883271195,0.31187218,127.91571870853359,1.0423043,288.52026860462564,0.6120162,0.006676298,0.3297526041666667,0.052337422408163546,0.0066882283
16\BI-123.wav,BI,0.65507144,0.52311426,0.2838533,0.39677504,0.3530764,-136.54189,-42.72665,-34.803364,2.305795,-28.546417,-4.1688237,-17.629366,12.946895,-10.669253,16.285486,-14.24339,7.0511003,-10.110134,30.031025,17.238094789951887,3.6646087781602668,0.28839168,119.52768500075759,1.0021502,299.8779538662456,0.6152901,0.010659301,0.3299153645833333,0.07161116134375334,0.008295428
16\BI-124.wav,BI,0.49784797,0.29565012,0.21749872,0.37706894,0.37309378,-107.7283,-28.454277,-26.276241,-4.0305414,-32.8723,-6.7143555,-20.00077,14.727785,-13.265862,10.514107,-8.939544,12.57176,-7.8167973,7.874474,16.511806076573254,3.623396686503124,0.35313424,128.03360682819547,1.1025342,285.35318786165044,0.5356471,0.0039242986,0.267578125,0.06954129948280752,0.008735883
16\BI-125.wav,BI,-0.006583579,0.36296237,0.2899318,0.19099912,0.16217208,-85.01498,0.38780588,-35.612625,-14.1475315,-24.489262,-0.76136076,-20.596869,14.111832,-12.445253,4.7170095,-11.350671,16.262058,-9.61685,0.0,16.478340645614303,0.0,0.41855252,125.15772612183999,0.25122827,247.5406643958138,0.6358592,0.0,0.11767578125,0.2173617072403431,0.010847894
16\BI-126.wav,BI,0.3751654,0.2093198,0.07849136,0.24532649,0.26863962,-131.63274,-23.20751,-27.447,5.2391596,-27.755781,-4.788696,-30.657602,9.612615,-13.495647,17.445107,-15.79256,13.790059,-17.19597,46.920475,19.530640765798495,6.8586412557048435,0.31347176,129.88854072529332,0.95065135,281.20981277694483,0.5471129,0.004723027,0.31005859375,0.06850893367081881,0.008354266
16\BI-127.wav,BI,0.50606346,0.28869182,0.092791274,0.23995303,0.19839525,-108.64754,-25.422325,-29.69655,8.015316,-30.117025,2.5006037,-32.143593,11.260872,-25.036755,15.26302,-9.216858,13.534521,-10.522492,17.922167,20.21772105748354,2.209760243736539,0.30557457,126.27139344900218,1.037394,290.2529715495459,0.5022404,0.001132448,0.220703125,0.09744943236000836,0.009374913
16\BI-128.wav,BI,0.23405634,0.05736725,-0.13980375,0.17770876,0.17887695,-135.09888,-11.639618,-11.1268,16.148842,-22.834297,-1.1646987,-18.128063,5.1240873,-11.327912,11.771236,-7.855418,5.202208,-12.886038,8.125759,15.746082936853577,2.4253549516542985,0.40705788,135.4054673413208,0.82730263,269.1314787109541,0.64393187,0.0048274524,0.15478515625,0.03505961876362562,0.005894726
