Filename,Label,LPC2,LPC3,LPC4,LPC5,LPC6,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,SFM,Spectral_Spread,Spectral_Skewness,Spectral_Centroid,Chroma_Mean,Chroma_Var,ZCR,STE,RMS
16\BI-10.wav,BI,0.2653211,0.21465546,0.11317105,0.15835804,-0.00895749,-83.180786,-12.725315,-20.809566,0.8120122,-16.564278,9.256431,-14.232462,3.5785127,-16.715416,3.6014156,-14.07246,8.788616,-6.112891,0.0,15.36553937108972,0.0,0.49432284,65.76309494605778,0.5549176,134.9646577868535,0.5748103,0.0,0.0673828125,0.07424875628203154,0.0060211523
16\BI-100.wav,BI,0.53279215,0.50780004,0.47297487,0.47215408,0.116584346,-211.38873,-32.690086,-40.284386,-14.199603,-30.112324,15.554599,-14.356329,7.6657357,-25.768852,-1.9925286,-24.95569,8.353622,-12.422028,3.7191527,21.861736277882144,2.427823606048222,0.29023963,61.004868485583046,0.86052114,143.11914077586496,0.55153656,0.0053120595,0.18896484375,0.005314272828400135,0.00225007
16\BI-101.wav,BI,0.39880073,1.0163608,0.86483145,0.56713676,0.29734352,-186.05759,-23.397842,-69.27287,-22.911894,7.021761,32.360943,-15.934942,1.5216782,-20.856562,3.0548291,-16.25542,4.6633863,-5.528672,17.898073,19.723698518813407,4.803477100115751,0.15615936,50.45619648116562,2.2139597,129.20252829964585,0.39918777,0.0010598623,0.130859375,0.015543332633872827,0.004347423
16\BI-102.wav,BI,0.10391634,0.31234667,0.23028079,0.07047373,-0.22570515,-205.1917,-9.294065,-28.493614,-12.835857,-7.261121,17.82201,-16.82817,-9.25774,-17.953499,0.9361694,-10.905012,-6.627659,-11.517261,0.0,15.673406682092256,0.0,0.3808272,62.82735726459971,1.5981519,130.30780468406846,0.43287972,0.0,0.0869140625,0.004589118994772434,0.0019298476
16\BI-103.wav,BI,0.17422873,0.47042695,0.28813466,0.3257612,-0.042186484,-172.96547,-10.929239,-50.359375,-13.534464,-29.596449,11.564495,-12.59257,-3.0218096,-28.789246,-7.627786,-13.0689335,10.436539,-18.77563,0.0,18.516555759229348,0.0,0.33818066,58.36401628018074,1.0057743,128.06540941432675,0.514788,0.0,0.12353515625,0.010030317585915327,0.0029263133
16\BI-104.wav,BI,-0.087961175,0.35218316,0.21791771,0.13220063,-0.13987163,-178.2708,5.2538314,-36.72719,-18.916353,-22.519768,11.838154,-14.875562,-13.495878,-26.9441,2.065214,-15.038614,0.18024302,-11.574171,0.0,17.566333658796154,0.0,0.42342758,61.566917019287246,1.4357638,121.30490391802918,0.5863994,0.0,0.0595703125,0.013538862578570843,0.0025711423
16\BI-105.wav,BI,0.48765013,0.4236161,0.5416299,0.34801653,0.17018135,-213.32585,-31.504854,-35.44162,-25.36279,-21.68378,4.73656,-13.215052,6.8948574,-19.963375,-0.5075609,-21.965734,5.558958,-11.951416,0.0,19.867095003303376,0.0,0.31621212,63.41373308036093,1.0743593,143.59941615211946,0.36973503,0.0,0.1181640625,0.0054953149519860744,0.0019943048
16\BI-106.wav,BI,0.18584839,0.42143822,0.3608053,0.20993766,0.014114998,-114.95821,-11.690496,-39.0593,-20.029156,-16.380112,12.113172,-47.00206,-0.54112023,-1.2394527,6.5416985,-13.599268,11.0859,-16.207636,0.0,18.24854271911412,0.0,0.39216325,60.23161135966087,0.56885123,132.0860568162172,0.4573586,0.0,0.06298828125,0.05703776050359011,0.0052773543
16\BI-107.wav,BI,-0.103387445,0.3258782,0.11058921,0.13563934,-0.022478797,-198.6863,13.107794,-26.365068,-3.2579055,-7.444166,-0.78618896,-12.406557,3.9975238,-15.115459,2.1176853,-9.334839,4.626917,-1.6773015,0.0,14.487202562962718,0.0,0.52213055,63.196488209348715,1.1260673,118.58209064939018,0.5634419,0.0,0.03369140625,0.006925467401742935,0.0018389062
16\BI-108.wav,BI,0.1877273,0.2477871,0.074885756,0.20845942,-0.0038898885,-145.98662,-7.3919735,-21.186695,5.914673,-18.99787,11.144936,-19.749943,14.266323,-10.872026,1.71829,-11.123623,3.0983734,-12.969933,0.0,15.744668152113265,0.0,0.46924955,65.26985642300347,0.72996455,132.99027405176267,0.5158792,0.0,0.07470703125,0.010851999744772911,0.0032369795
16\BI-109.wav,BI,0.50109625,0.44380406,0.51087666,0.33063686,0.100861624,-178.00497,-24.471916,-34.41851,-10.954521,-17.085918,14.564209,-13.872379,7.755449,-22.166855,11.468128,-20.094942,9.858068,-7.871274,4.4131694,20.060666586061487,2.1553985670869595,0.33138153,62.98395716400955,1.0455766,142.79921128408645,0.4011577,0.000653273,0.18994140625,0.010151938845713934,0.0030573716
16\BI-11.wav,BI,-0.12232164,0.2775389,-0.030026758,0.1439138,-0.12615615,-117.88457,19.426441,-29.428188,6.917675,-13.013742,7.275235,-19.208546,4.395906,-15.580722,12.118723,0.29846522,-8.957223,1.7944021,0.0,17.530466177154782,0.0,0.42315242,63.63226863423978,0.52300715,118.45517693412243,0.36245084,0.0,0.0263671875,0.04232131503522396,0.004545845
16\BI-110.wav,BI,0.444084,0.4668626,0.4325177,0.3577019,0.17582983,-202.79277,-28.405666,-48.40621,-12.6678,-29.877668,7.3977113,-13.25864,7.756632,-27.508694,9.128208,-22.166151,11.3370495,-13.671885,26.35497,24.598704245688452,4.626442189011127,0.28887814,60.45916397973227,0.99856424,141.33391202816483,0.46809402,0.0013112483,0.1982421875,0.0068655988822380705,0.002515278
16\BI-111.wav,BI,0.47480556,0.62118196,0.63002104,0.50776803,0.1763623,-190.24335,-34.23848,-51.526047,-24.53962,-26.566008,17.0309,-14.157881,-0.67380977,-23.152998,3.1993153,-24.723,-5.4686346,-6.6713715,7.9686556,21.760298521325517,3.8272713002761813,0.26654524,59.10874379306195,0.82479477,138.71534408771623,0.5103675,0.0010893708,0.18115234375,0.008327540010213852,0.0030206987
16\BI-112.wav,BI,0.12303817,0.1094687,0.1649349,0.14039035,0.028673287,-195.65909,-4.110552,-23.924858,3.3753455,-24.73295,11.9493885,-23.729454,8.954206,-23.835102,8.236906,-17.734676,11.800049,-17.792454,40.56153,22.118424773204126,0.7988734673380763,0.42482823,66.5663576629153,0.7698659,132.95197565143286,0.43226683,0.0018225588,0.19873046875,0.009039734800656637,0.0024327734
16\BI-113.wav,BI,0.5281524,0.48550394,0.58838266,0.48605868,0.08313369,-173.05786,-25.830944,-30.276325,-24.069782,-18.498783,21.84383,-2.00309,11.510456,-13.948266,2.9199202,-12.908334,9.615068,-6.121645,0.0,15.802546310305994,0.0,0.3269609,62.81095597363647,0.96273196,138.9381997309793,0.49336982,0.0,0.15185546875,0.010478897485882044,0.0029175563
