Filename,Label,LPC2,LPC3,LPC4,LPC5,LPC6,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,SFM,Spectral_Spread,Spectral_Skewness,Spectral_Centroid,Chroma_Mean,Chroma_Var,ZCR,STE,RMS
16\BI-10.wav,BI,-0.86956966,-0.11872731,-0.22482964,0.49365082,-0.10136783,-38.331844,69.651924,-38.149174,-30.751972,5.372886,1.5174283,-0.7259286,5.882555,-4.4406133,-0.6325256,-2.1066318,3.023886,-13.831385,391.39844,12.98369337581654,7.001296638449491,0.07754207,6002.228147109731,4.143906,5963.88451115509,0.53876346,0.04370725,0.1598233309659091,32.214764335859485,0.16796449
16\BI-100.wav,BI,-0.7385678,-0.2096734,-0.17488539,0.4251737,0.05164927,-120.42331,51.038876,-38.389233,-36.913715,2.3042371,-7.927436,-11.089631,6.57475,0.46928018,2.1168985,-6.6058154,-6.330073,-17.152735,281.0893,14.097486991009507,9.24347077109376,0.108785264,6304.385977407922,3.5958555,6924.271195345096,0.5197116,0.03297752,0.20645706741898148,5.704900071650088,0.070080765
16\BI-101.wav,BI,-0.74244535,-0.08194876,-0.2577512,0.3614619,0.08369975,-113.504616,52.419395,-35.851677,-30.837662,4.7755036,-3.9536204,-7.486988,9.499016,-5.2692504,2.012222,1.0340806,-1.2501659,-17.215427,45.00247,14.62256047155334,9.67642685889378,0.114881665,6250.574621690166,3.4137683,6926.453637319193,0.4782356,0.020801395,0.21005215487637363,4.121096694299562,0.06287037
16\BI-102.wav,BI,-0.7712333,-0.19268933,-0.16521455,0.42797843,0.06446136,-112.03624,57.670364,-40.19959,-34.280487,5.735565,-7.2504125,-8.804456,7.685513,-4.335211,-0.18415049,-1.468007,-2.0417736,-16.95027,211.78687,13.879641028458051,8.022084501980911,0.09507977,6183.017320303481,3.5164049,6543.628956225639,0.497919,0.028184943,0.19028501157407407,5.5590739079672735,0.07171414
16\BI-103.wav,BI,-0.7554251,-0.2562846,-0.11826856,0.4264925,0.05320744,-116.53806,61.58527,-39.918934,-33.98629,4.4063845,-11.600482,-13.435227,4.599099,-0.52417135,-0.4457539,-5.0507317,-5.205204,-13.717812,321.73035,13.998288914882213,8.861541669561188,0.08436732,6127.242562035225,3.553662,6309.3346427038005,0.535739,0.030797495,0.17952045641447367,5.888424205661163,0.07336971
16\BI-104.wav,BI,-0.76079047,-0.17748025,-0.2135077,0.40880522,0.03387419,-106.39216,63.061783,-38.001705,-34.39999,7.4813895,-2.5340698,-9.5463505,5.099324,-3.3490484,-0.90531987,-2.600631,-2.0371406,-17.80916,384.8291,13.867716359766604,7.5042932887089435,0.08446935,6104.606078786634,3.7126155,6271.735082631609,0.47063056,0.029054806,0.1692437065972222,7.098031691695288,0.08052872
16\BI-105.wav,BI,-0.7556971,-0.18590823,-0.20239423,0.40667006,0.08033781,-95.13565,55.344826,-43.07429,-38.623116,3.4716542,-9.181205,-13.222094,6.372088,-1.4675376,-0.45786512,-5.7408085,-3.7295482,-14.489907,177.17398,13.758541989624533,7.2842835366474725,0.09200399,6172.255812340673,3.438464,6560.396427693404,0.5435116,0.03159603,0.1896294487847222,8.176248304604087,0.08693666
16\BI-106.wav,BI,-0.75283164,-0.11355056,-0.28702882,0.3852965,-0.023491697,-70.495544,61.509453,-33.98576,-37.61819,0.034010198,-3.2220273,-8.085722,7.6610904,-5.4676046,-4.8462534,-1.112577,-1.961568,-16.665884,87.1145,13.778733310332209,6.953224353940251,0.099499315,6263.006310625027,3.5564814,6569.445708896874,0.5506877,0.03181711,0.18424479166666666,10.906552159085145,0.10167837
16\BI-107.wav,BI,-0.6828114,-0.06599493,-0.31900647,0.35314506,0.17750752,-121.229904,47.001682,-32.362118,-28.207525,10.961102,-2.5774217,-13.187934,12.087914,-1.3212868,4.748277,0.0998078,2.3247254,-10.932345,41.869408,14.100729353516424,10.597623403712932,0.117508225,6269.525337086524,3.5564835,7246.26068418689,0.51340115,0.02407682,0.21749745244565216,3.6767777541206907,0.059823133
16\BI-108.wav,BI,-0.87647116,0.10632427,-0.44517854,0.44664812,-0.015944581,-37.673336,57.875584,-42.452194,-36.588608,-2.5145662,-0.29078728,-11.027536,7.185406,-6.017594,2.13187,-5.4378023,-1.841742,-13.377042,245.83765,13.33300146461925,10.460390972674734,0.09285214,5952.617892983237,3.5072443,6328.012096150483,0.5744083,0.038276073,0.18422747672872342,26.039107267843917,0.15425535
